[2023-05-03 05:32:21,919] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[2023-05-03 05:32:21,920] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[2023-05-03 05:32:21,920] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[2023-05-03 05:32:21,921] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[2023-05-03 05:32:21,922] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[2023-05-03 05:32:21,924] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[2023-05-03 05:32:21,924] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[2023-05-03 05:32:21,926] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[2023-05-03 05:32:21,927] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[2023-05-03 05:32:21,928] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[2023-05-03 05:32:21,930] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[2023-05-03 05:32:21,931] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[2023-05-03 05:32:21,931] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[2023-05-03 05:32:21,932] DEBUG [org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory: 98] Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[2023-05-03 05:32:21,939] WARN [org.hibernate.orm.connections.pooling: 75] HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-05-03 05:32:21,945] INFO [org.hibernate.orm.connections.pooling: 119] HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://localhost:5433/postgres]
[2023-05-03 05:32:21,946] INFO [org.hibernate.orm.connections.pooling: 125] HHH10001001: Connection properties: {password=12345, user=postgres}
[2023-05-03 05:32:21,946] INFO [org.hibernate.orm.connections.pooling: 132] HHH10001003: Autocommit mode: false
[2023-05-03 05:32:21,951] DEBUG [org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl: 384] Initializing Connection pool with 1 Connections
[2023-05-03 05:32:21,951] INFO [org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl: 322] HHH000115: Hibernate connection pool size: 20 (min=1)
[2023-05-03 05:32:22,321] DEBUG [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator: 72] Database ->
       name : PostgreSQL
    version : 15.2
      major : 15
      minor : 2
[2023-05-03 05:32:22,321] DEBUG [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator: 83] Driver ->
       name : PostgreSQL JDBC Driver
    version : 42.6.0
      major : 42
      minor : 6
[2023-05-03 05:32:22,322] DEBUG [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator: 389] JDBC version : 4.2
[2023-05-03 05:32:22,338] INFO [org.hibernate.dialect.Dialect: 175] HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
[2023-05-03 05:32:22,357] DEBUG [org.hibernate.engine.jdbc.env.spi.IdentifierHelperBuilder: 114] JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
[2023-05-03 05:32:22,396] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@251ebf23
[2023-05-03 05:32:22,397] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.util.UUID -> org.hibernate.type.PostgresUUIDType@251ebf23
[2023-05-03 05:32:22,397] DEBUG [org.hibernate.type.BasicTypeRegistry: 160] HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@20f12539
[2023-05-03 05:32:22,400] DEBUG [org.hibernate.type.spi.TypeConfiguration$Scope: 149] Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@4c5204af] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@3f3ddbd9]
[2023-05-03 05:32:22,444] DEBUG [org.hibernate.boot.model.relational.Namespace: 51] Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[2023-05-03 05:32:22,461] DEBUG [org.hibernate.cfg.AnnotationBinder: 547] Binding entity from annotated class: hibernate.entity.Flight
